reference_date,away_team,home_team,scheduled_start_datetime,official_game_id
2026-07-03,롯데,KT,2026-07-03 18:30:00,20260703LTKT0
2026-07-03,NC,KIA,2026-07-03 18:30:00,20260703NCHT0
2026-07-03,두산,키움,2026-07-03 18:30:00,20260703OBWO0
2026-07-03,삼성,SSG,2026-07-03 18:30:00,20260703SSSK0
2026-07-04,한화,LG,2026-07-04 18:00:00,20260704HHLG0
2026-07-04,롯데,KT,2026-07-04 18:00:00,20260704LTKT0
2026-07-04,NC,KIA,2026-07-04 18:00:00,20260704NCHT0
2026-07-04,두산,키움,2026-07-04 18:00:00,20260704OBWO0
2026-07-04,삼성,SSG,2026-07-04 18:00:00,20260704SSSK0
2026-07-05,한화,LG,2026-07-05 18:00:00,20260705HHLG0
2026-07-05,롯데,KT,2026-07-05 18:00:00,20260705LTKT0
2026-07-05,NC,KIA,2026-07-05 18:00:00,20260705NCHT0
2026-07-05,두산,키움,2026-07-05 14:00:00,20260705OBWO0
2026-07-05,삼성,SSG,2026-07-05 18:00:00,20260705SSSK0
2026-07-07,KIA,롯데,2026-07-07 18:30:00,20260707HTLT0
2026-07-07,LG,삼성,2026-07-07 18:30:00,20260707LGSS0
2026-07-07,NC,한화,2026-07-07 18:30:00,20260707NCHH0
2026-07-07,SSG,두산,2026-07-07 18:30:00,20260707SKOB0
2026-07-07,키움,KT,2026-07-07 18:30:00,20260707WOKT0
2026-07-08,KIA,롯데,2026-07-08 18:30:00,20260708HTLT0
2026-07-08,LG,삼성,2026-07-08 18:30:00,20260708LGSS0
2026-07-08,NC,한화,2026-07-08 18:30:00,20260708NCHH0
2026-07-08,SSG,두산,2026-07-08 18:30:00,20260708SKOB0
2026-07-08,키움,KT,2026-07-08 18:30:00,20260708WOKT0
2026-07-09,KIA,롯데,2026-07-09 18:30:00,20260709HTLT0
2026-07-09,LG,삼성,2026-07-09 18:30:00,20260709LGSS0
2026-07-09,NC,한화,2026-07-09 18:30:00,20260709NCHH0
2026-07-09,SSG,두산,2026-07-09 18:30:00,20260709SKOB0
2026-07-09,키움,KT,2026-07-09 18:30:00,20260709WOKT0
2026-07-16,KIA,SSG,2026-07-16 18:30:00,20260716HTSK0
2026-07-16,KT,LG,2026-07-16 18:30:00,20260716KTLG0
2026-07-16,롯데,삼성,2026-07-16 18:30:00,20260716LTSS0
2026-07-16,두산,NC,2026-07-16 18:30:00,20260716OBNC0
2026-07-16,키움,한화,2026-07-16 18:30:00,20260716WOHH0
2026-07-29,KIA,삼성,2026-07-29 18:30:00,20260729HTSS0
2026-07-29,KT,NC,2026-07-29 18:30:00,20260729KTNC0
2026-07-29,롯데,한화,2026-07-29 18:30:00,20260729LTHH0
2026-07-29,두산,SSG,2026-07-29 18:30:00,20260729OBSK0
2026-07-29,키움,LG,2026-07-29 18:30:00,20260729WOLG0
2026-07-30,KIA,삼성,2026-07-30 18:30:00,20260730HTSS0
2026-07-30,KT,NC,2026-07-30 18:30:00,20260730KTNC0
2026-07-30,롯데,한화,2026-07-30 18:30:00,20260730LTHH0
2026-07-30,두산,SSG,2026-07-30 18:30:00,20260730OBSK0
2026-07-30,키움,LG,2026-07-30 18:30:00,20260730WOLG0
2026-07-31,한화,KT,2026-07-31 18:30:00,20260731HHKT0
2026-07-31,KIA,NC,2026-07-31 18:30:00,20260731HTNC0
2026-07-31,LG,두산,2026-07-31 18:30:00,20260731LGOB0
2026-07-31,SSG,키움,2026-07-31 18:30:00,20260731SKWO0
2026-07-31,삼성,롯데,2026-07-31 18:30:00,20260731SSLT0
2026-08-01,한화,KT,2026-08-01 18:00:00,20260801HHKT0
2026-08-01,KIA,NC,2026-08-01 18:00:00,20260801HTNC0
2026-08-01,LG,두산,2026-08-01 18:00:00,20260801LGOB0
2026-08-01,SSG,키움,2026-08-01 18:00:00,20260801SKWO0
2026-08-01,삼성,롯데,2026-08-01 18:00:00,20260801SSLT0
2026-08-02,한화,KT,2026-08-02 18:00:00,20260802HHKT0
2026-08-02,KIA,NC,2026-08-02 18:00:00,20260802HTNC0
2026-08-02,LG,두산,2026-08-02 18:00:00,20260802LGOB0
2026-08-02,SSG,키움,2026-08-02 14:00:00,20260802SKWO0
2026-08-02,삼성,롯데,2026-08-02 18:00:00,20260802SSLT0
2026-08-04,한화,삼성,2026-08-04 18:30:00,20260804HHSS0
2026-08-04,KT,KIA,2026-08-04 18:30:00,20260804KTHT0
2026-08-04,LG,SSG,2026-08-04 18:30:00,20260804LGSK0
2026-08-04,NC,두산,2026-08-04 18:30:00,20260804NCOB0
2026-08-04,키움,롯데,2026-08-04 18:30:00,20260804WOLT0
2026-08-05,한화,삼성,2026-08-05 18:30:00,20260805HHSS0
2026-08-05,KT,KIA,2026-08-05 18:30:00,20260805KTHT0
2026-08-05,LG,SSG,2026-08-05 18:30:00,20260805LGSK0
2026-08-05,NC,두산,2026-08-05 18:30:00,20260805NCOB0
2026-08-05,키움,롯데,2026-08-05 18:30:00,20260805WOLT0
2026-08-06,한화,삼성,2026-08-06 18:30:00,20260806HHSS0
2026-08-06,KT,KIA,2026-08-06 18:30:00,20260806KTHT0
2026-08-06,LG,SSG,2026-08-06 18:30:00,20260806LGSK0
2026-08-06,NC,두산,2026-08-06 18:30:00,20260806NCOB0
2026-08-06,키움,롯데,2026-08-06 18:30:00,20260806WOLT0
2026-08-07,KIA,LG,2026-08-07 18:30:00,20260807HTLG0
2026-08-07,롯데,KT,2026-08-07 18:30:00,20260807LTKT0
2026-08-07,두산,삼성,2026-08-07 18:30:00,20260807OBSS0
2026-08-07,SSG,NC,2026-08-07 18:30:00,20260807SKNC0
2026-08-07,키움,한화,2026-08-07 18:30:00,20260807WOHH0
2026-08-11,한화,두산,2026-08-11 19:00:00,20260811HHOB0
2026-08-11,KT,NC,2026-08-11 19:00:00,20260811KTNC0
2026-08-11,LG,키움,2026-08-11 19:00:00,20260811LGWO0
2026-08-11,롯데,SSG,2026-08-11 19:00:00,20260811LTSK0
2026-08-11,삼성,KIA,2026-08-11 19:00:00,20260811SSHT0
2026-08-12,한화,두산,2026-08-12 19:00:00,20260812HHOB0
2026-08-12,KT,NC,2026-08-12 19:00:00,20260812KTNC0
2026-08-12,LG,키움,2026-08-12 19:00:00,20260812LGWO0
2026-08-12,롯데,SSG,2026-08-12 19:00:00,20260812LTSK0
2026-08-12,삼성,KIA,2026-08-12 19:00:00,20260812SSHT0
2026-08-13,한화,두산,2026-08-13 19:00:00,20260813HHOB0
2026-08-13,KT,NC,2026-08-13 19:00:00,20260813KTNC0
2026-08-13,LG,키움,2026-08-13 19:00:00,20260813LGWO0
2026-08-13,롯데,SSG,2026-08-13 19:00:00,20260813LTSK0
2026-08-13,삼성,KIA,2026-08-13 19:00:00,20260813SSHT0
2026-08-14,한화,삼성,2026-08-14 19:00:00,20260814HHSS0
2026-08-14,NC,롯데,2026-08-14 19:00:00,20260814NCLT0
2026-08-14,두산,KIA,2026-08-14 19:00:00,20260814OBHT0
2026-08-14,SSG,LG,2026-08-14 19:00:00,20260814SKLG0
2026-08-14,키움,KT,2026-08-14 19:00:00,20260814WOKT0
2026-08-15,한화,삼성,2026-08-15 19:00:00,20260815HHSS0
2026-08-15,NC,롯데,2026-08-15 19:00:00,20260815NCLT0
2026-08-15,두산,KIA,2026-08-15 19:00:00,20260815OBHT0
2026-08-15,SSG,LG,2026-08-15 19:00:00,20260815SKLG0
2026-08-15,키움,KT,2026-08-15 19:00:00,20260815WOKT0
2026-08-16,한화,삼성,2026-08-16 19:00:00,20260816HHSS0
2026-08-16,NC,롯데,2026-08-16 19:00:00,20260816NCLT0
2026-08-16,두산,KIA,2026-08-16 19:00:00,20260816OBHT0
2026-08-16,SSG,LG,2026-08-16 19:00:00,20260816SKLG0
2026-08-16,키움,KT,2026-08-16 19:00:00,20260816WOKT0
2026-08-18,KIA,한화,2026-08-18 19:00:00,20260818HTHH0
2026-08-18,KT,LG,2026-08-18 19:00:00,20260818KTLG0
2026-08-18,두산,NC,2026-08-18 19:00:00,20260818OBNC0
2026-08-18,SSG,삼성,2026-08-18 19:00:00,20260818SKSS0
2026-08-18,키움,롯데,2026-08-18 19:00:00,20260818WOLT0
2026-08-19,KIA,한화,2026-08-19 19:00:00,20260819HTHH0
2026-08-19,KT,LG,2026-08-19 19:00:00,20260819KTLG0
2026-08-19,두산,NC,2026-08-19 19:00:00,20260819OBNC0
2026-08-19,SSG,삼성,2026-08-19 19:00:00,20260819SKSS0
2026-08-19,키움,롯데,2026-08-19 19:00:00,20260819WOLT0
2026-08-20,KIA,한화,2026-08-20 19:00:00,20260820HTHH0
2026-08-20,KT,LG,2026-08-20 19:00:00,20260820KTLG0
2026-08-20,두산,NC,2026-08-20 19:00:00,20260820OBNC0
2026-08-20,SSG,삼성,2026-08-20 19:00:00,20260820SKSS0
2026-08-20,키움,롯데,2026-08-20 19:00:00,20260820WOLT0
2026-08-21,KIA,키움,2026-08-21 19:00:00,20260821HTWO0
2026-08-21,KT,SSG,2026-08-21 19:00:00,20260821KTSK0
2026-08-21,LG,한화,2026-08-21 19:00:00,20260821LGHH0
2026-08-21,롯데,두산,2026-08-21 19:00:00,20260821LTOB0
2026-08-21,삼성,NC,2026-08-21 19:00:00,20260821SSNC0
2026-08-22,KIA,키움,2026-08-22 18:00:00,20260822HTWO0
2026-08-22,KT,SSG,2026-08-22 19:00:00,20260822KTSK0
2026-08-22,LG,한화,2026-08-22 19:00:00,20260822LGHH0
2026-08-22,롯데,두산,2026-08-22 19:00:00,20260822LTOB0
2026-08-22,삼성,NC,2026-08-22 19:00:00,20260822SSNC0
2026-08-23,KIA,키움,2026-08-23 14:00:00,20260823HTWO0
2026-08-23,KT,SSG,2026-08-23 19:00:00,20260823KTSK0
2026-08-23,LG,한화,2026-08-23 19:00:00,20260823LGHH0
2026-08-23,롯데,두산,2026-08-23 19:00:00,20260823LTOB0
2026-08-23,삼성,NC,2026-08-23 19:00:00,20260823SSNC0
2026-08-25,한화,SSG,2026-08-25 18:30:00,20260825HHSK0
2026-08-25,롯데,KIA,2026-08-25 18:30:00,20260825LTHT0
2026-08-25,NC,LG,2026-08-25 18:30:00,20260825NCLG0
2026-08-25,두산,KT,2026-08-25 18:30:00,20260825OBKT0
2026-08-25,삼성,키움,2026-08-25 18:30:00,20260825SSWO0
2026-08-26,한화,SSG,2026-08-26 18:30:00,20260826HHSK0
2026-08-26,롯데,KIA,2026-08-26 18:30:00,20260826LTHT0
2026-08-26,NC,LG,2026-08-26 18:30:00,20260826NCLG0
2026-08-26,두산,KT,2026-08-26 18:30:00,20260826OBKT0
2026-08-26,삼성,키움,2026-08-26 18:30:00,20260826SSWO0
2026-08-27,한화,SSG,2026-08-27 18:30:00,20260827HHSK0
2026-08-27,롯데,KIA,2026-08-27 18:30:00,20260827LTHT0
2026-08-27,NC,LG,2026-08-27 18:30:00,20260827NCLG0
2026-08-27,두산,KT,2026-08-27 18:30:00,20260827OBKT0
2026-08-27,삼성,키움,2026-08-27 18:30:00,20260827SSWO0
