순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,삼진,장타율,출루율,OPS
8,송찬의,LG,0.271,24,88,70,15,19,3,0,5,37,14,0,0,10,18,0.529,0.420,0.949
9,박해민,LG,0.267,42,156,131,14,35,6,0,0,41,16,6,5,11,22,0.313,0.327,0.640
10,오지환,LG,0.241,39,139,116,13,28,5,0,2,39,22,5,2,14,22,0.336,0.328,0.664
11,이주헌,LG,0.229,22,38,35,4,8,0,0,2,14,6,1,0,1,12,0.400,0.270,0.670
12,박동원,LG,0.218,37,134,110,15,24,5,0,2,35,14,2,2,17,33,0.318,0.333,0.651
13,신민재,LG,0.210,41,147,124,13,26,1,0,0,27,6,3,1,18,22,0.218,0.313,0.531
14,김현종,LG,0.200,6,5,5,1,1,0,0,0,1,0,0,0,0,1,0.200,0.200,0.400
15,홍창기,LG,0.194,38,169,129,19,25,4,1,0,31,11,1,1,33,36,0.240,0.375,0.615
16,이재원,LG,0.182,21,50,44,2,8,1,0,1,12,6,0,1,4,20,0.273,0.260,0.533
17,최원영,LG,0.143,25,15,14,7,2,1,0,0,3,1,1,0,0,3,0.214,0.143,0.357
18,강민균,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
