snapshot_date,snapshot_time,reference_date,scheduled_game_id,team,home_away,lineup_source,lineup_info_quality,batting_order,position,player,war,data_source
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729HTSS0,삼성,H,confirmed,1.0,9,3루수,전병우,0.53,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,1,지명타자,서건창,1.41,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,2,2루수,안치홍,1.03,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,3,1루수,데이비슨,1.82,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,4,우익수,박찬혁,0.83,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,5,중견수,임병욱,0.51,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,6,포수,김건희,0.82,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,7,좌익수,이형종,0.06,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,8,유격수,권혁빈,-0.50,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729WOLG0,키움,A,confirmed,1.0,9,3루수,여동욱,0.29,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,1,중견수,이원석,0.39,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,2,우익수,페라자,4.20,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,3,좌익수,문현빈,3.03,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,4,3루수,노시환,2.29,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,5,지명타자,채은성,0.17,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,6,포수,허인서,2.44,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,7,1루수,김태연,1.30,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,8,2루수,이도윤,1.00,KBO GetLineUpAnalysis
2026-07-29,2026-07-29 17:53:41,2026-07-29,20260729LTHH0,한화,H,confirmed,1.0,9,유격수,심우준,1.22,KBO GetLineUpAnalysis
