game_date,game_id,away_team,home_team,actual_winner,home_win,home_starter,away_starter,both_starters_known,starter_info_quality,home_starter_era_prior,away_starter_era_prior,starter_era_gap,home_starter_whip_prior,away_starter_whip_prior,starter_whip_gap,home_starter_recent3_era,away_starter_recent3_era,starter_recent3_era_gap,home_starter_recent3_ip,away_starter_recent3_ip,starter_recent3_ip_gap,home_starter_rest_days,away_starter_rest_days,starter_rest_days_gap,home_starter_recent_pitch_count,away_starter_recent_pitch_count,starter_recent_pitch_count_gap,home_bullpen_pitch_count_last1d,away_bullpen_pitch_count_last1d,bullpen_pitch_count_last1d_gap,home_bullpen_pitch_count_last3d,away_bullpen_pitch_count_last3d,bullpen_pitch_count_last3d_gap,home_bullpen_appearances_last3d,away_bullpen_appearances_last3d,bullpen_appearances_last3d_gap,home_previous_game_run_diff,away_previous_game_run_diff,previous_game_run_diff_gap,home_previous_game_bullpen_pitch_count,away_previous_game_bullpen_pitch_count,previous_game_bullpen_usage_gap,lineup_confirmed,lineup_feature_status,key_hitter_feature_status,excluded_leakage_columns,recent_10_win_rate_gap,season_win_rate_gap,season_avg_run_diff_gap,recent_5_runs_avg_gap,recent_5_allowed_avg_gap,recent_5_run_creation_gap,recent_10_run_creation_gap,recent_run_diff_10_gap,venue_win_rate_gap,games_last_7_days_gap,recent_3day_games_gap,rest_days_gap,bullpen_fatigue_score_gap,bullpen_fatigue_gap
2017-04-09,20170409WOOB0,넥센,두산,넥센,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,3.0,3.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.1429,0.1429,0.2857,-1.2,2.0,-3.6,1.7143,1.7143,0.1,0,0,0.0,0.0,0.0
2017-04-11,20170411HTOB0,KIA,두산,두산,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,11.0,1.0,10.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.375,0.125,0.625,-0.8,-5.0,1.0,-2.5,-2.5,-0.5,0,0,0.0,0.0,0.0
2017-04-11,20170411KTWO0,KT,넥센,넥센,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,11.0,3.0,8.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.5,-0.5,-0.25,5.2,-5.4,6.6,-3.0,-3.0,0.0,0,0,0.0,0.0,0.0
2017-04-11,20170411LGNC0,LG,NC,NC,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,3.0,6.0,-3.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.375,-0.125,1.75,-2.2,-1.8,-0.4,-5.375,-5.375,0.8333,0,0,0.0,0.0,0.0
2017-04-11,20170411LTSK0,롯데,SK,롯데,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,3.0,6.0,-3.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.5,0.0,-1.875,-2.2,-1.2,1.4,-4.625,-4.625,-0.6667,0,0,0.0,0.0,0.0
2017-04-11,20170411HHSS0,한화,삼성,한화,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,3.0,1.0,2.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.25,0.75,5.875,-2.8,-1.4,-2.6,-1.5,-1.5,0.8333,0,0,0.0,0.0,0.0
2017-04-12,20170412HTOB0,KIA,두산,KIA,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,12.0,12.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.2222,0.1111,0.4444,2.4,-2.8,0.8,0.4444,0.4444,-0.4643,0,0,0.0,0.0,0.0
2017-04-12,20170412KTWO0,KT,넥센,넥센,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,10.0,10.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.3333,-0.4444,-0.5556,6.8,-2.8,6.6,-0.4444,-0.4444,0.0,0,0,0.0,0.0,0.0
2017-04-12,20170412LGNC0,LG,NC,NC,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,1.0,1.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.2222,-0.1111,1.2222,0.2,-0.4,-0.4,-4.5556,-4.5556,0.5714,0,0,0.0,0.0,0.0
2017-04-12,20170412LTSK0,롯데,SK,SK,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0,2.0,2.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.5556,0.1111,-0.6667,-1.8,-0.8,1.6,-4.5556,-4.5556,-0.3214,0,0,0.0,0.0,0.0
