prediction_date,game_date,game_id,away_team,home_team,predicted_winner,predicted_probability,predicted_edge_label,recommendation_strength,recommendation_grade,win_pick_recommendation,handicap_recommendation,over_under_recommendation,daily_rank,daily_edge_percentile,is_daily_top_pick,is_daily_top_tier,actual_winner,actual_away_score,actual_home_score,win_pick_result,confidence_bucket,market_policy_result,production_model_name,note
2026-06-02,2026-06-02,20260602WOSK0,키움,SSG,키움,0.518,키움 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,5,0.6,False,False,키움,12,6,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-02,2026-06-02,20260602LGKT0,LG,KT,LG,0.5,LG 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,8,0.4,False,False,LG,10,1,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-03,2026-06-03,20260603NCSS0,NC,삼성,삼성,0.557,삼성 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,NC,6,4,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-03,2026-06-03,20260603LTHT0,롯데,KIA,KIA,0.555,KIA 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,롯데,8,3,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-03,2026-06-03,20260603WOSK0,키움,SSG,키움,0.524,키움 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,SSG,4,5,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-03,2026-06-03,20260603LGKT0,LG,KT,KT,0.503,KT 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,KT,6,7,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-04,2026-06-04,20260604HHOB0,한화,두산,두산,0.504,두산 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,두산,1,3,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-04,2026-06-04,20260604NCSS0,NC,삼성,삼성,0.548,삼성 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,NC,6,3,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-04,2026-06-04,20260604LTHT0,롯데,KIA,KIA,0.542,KIA 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,KIA,0,10,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-04,2026-06-04,20260604LGKT0,LG,KT,KT,0.511,KT 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,5,0.6,False,False,LG,7,5,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
