game_id,date,home_team,away_team,target_home_win,home_recent_10_win_rate,away_recent_10_win_rate,recent_10_win_rate_gap,season_win_rate_gap,season_avg_run_diff_gap,home_recent_5_runs_avg,away_recent_5_runs_avg,recent_5_runs_avg_gap,home_recent_5_allowed_avg,away_recent_5_allowed_avg,recent_5_allowed_avg_gap,recent_5_run_creation_gap,recent_10_run_creation_gap,recent_run_diff_10_gap,home_venue_win_rate,away_venue_win_rate,venue_win_rate_gap,home_games_last_7_days,away_games_last_7_days,games_last_7_days_gap,home_recent_3day_games,away_recent_3day_games,recent_3day_games_gap,home_rest_days,away_rest_days,rest_days_gap,home_bullpen_fatigue_proxy,away_bullpen_fatigue_proxy,home_bullpen_fatigue_score,away_bullpen_fatigue_score,bullpen_fatigue_score_gap,bullpen_fatigue_gap,home_starter_era,home_starter_whip,home_starter_info_quality,home_starter_source,home_starter_quality_score,away_starter_era,away_starter_whip,away_starter_info_quality,away_starter_source,away_starter_quality_score,starter_era_gap,starter_whip_gap,starter_quality_gap,both_starters_confirmed,partial_starter_confirmed,home_top3_hitter_ops_avg,home_team_ops_avg,home_hitter_dependency,home_top3_hitter_impact_score,home_pitcher_core_score,home_pitcher_dependency,away_top3_hitter_ops_avg,away_team_ops_avg,away_hitter_dependency,away_top3_hitter_impact_score,away_pitcher_core_score,away_pitcher_dependency,top3_hitter_ops_avg_gap,top3_hitter_impact_score_gap,hitter_dependency_gap,pitcher_core_score_gap,pitcher_dependency_gap
20160406WOHH0,2016-04-06,한화,넥센,0,0.3333,0.5,-0.1667,0.4167,3.75,6.6667,4.25,2.4167,6.0,4.75,-1.25,1.9167,1.1667,1.1667,1.0,0.0,1.0,3,4,1,1.0,2.0,1,1.0,1.0,0.0,4.5,5.5,2.5,3.5,1.0,1.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.935,0.7313,0.2037,83.2183,56.2326,0.3308,0.0,0.0,0.0,0.0,0.0,0.0,0.935,83.2183,0.2037,56.2326,0.3308
20160407LGHT0,2016-04-07,KIA,LG,0,0.6667,0.6667,0.0,-0.6667,-0.6667,4.0,4.6667,-0.6667,3.0,5.0,2.0,-1.0,1.3333,1.3333,1.0,1.0,0.0,3,3,0,1.0,1.0,0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.9553,0.703,0.2524,87.0417,60.1922,0.2264,0.9787,0.6578,0.3208,88.4267,57.2853,0.0738,-0.023399999999999976,-1.384999999999991,-0.06839999999999996,2.9069000000000003,0.15259999999999999
20160407SSKT0,2016-04-07,KT,삼성,0,0.6,0.5,0.1,-0.35,-1.2,6.0,6.25,-0.25,5.2,6.25,1.05,-0.25,0.8,0.8,0.5,1.0,-0.5,5,4,-1,2.0,2.0,0,1.0,1.0,0.0,6.5,5.5,3.5,3.5,0.0,-1.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.936,0.7074,0.2286,85.6917,61.4144,0.174,0.9337,0.6311,0.3025,85.4483,64.4516,0.1425,0.0023000000000000798,0.24339999999999407,-0.0739,-3.0371999999999986,0.0315
20160407NCOB0,2016-04-07,두산,NC,0,0.75,0.25,0.5,0.25,0.25,4.75,2.5,2.25,3.25,4.0,0.75,0.75,3.0,3.0,1.0,0.5,0.5,4,4,0,2.0,2.0,0,1.0,1.0,0.0,5.5,5.5,3.5,3.5,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.858,0.7397,0.1183,79.1239,67.3592,0.2909,0.837,0.6773,0.1597,77.9833,57.8266,0.2843,0.02100000000000002,1.1406000000000063,-0.041400000000000006,9.532600000000002,0.006599999999999995
20160407SKLT0,2016-04-07,롯데,SK,0,0.6,0.2,0.4,0.2,0.0,4.6,2.8,1.8,2.8,5.8,3.0,-1.2,4.8,4.8,1.0,0.5,0.5,5,5,0,2.0,2.0,0,1.0,1.0,0.0,6.5,6.5,3.5,3.5,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.8647,0.7016,0.1631,80.1483,56.7454,0.2555,0.0,0.0,0.0,0.0,0.0,0.0,0.8647,80.1483,0.1631,56.7454,0.2555
20160407WOHH0,2016-04-07,한화,넥센,0,0.25,0.6,-0.35,0.35,2.5,6.0,4.6,1.4,6.0,4.6,-1.4,1.4,0.0,0.0,1.0,0.5,0.5,4,5,1,2.0,2.0,0,1.0,1.0,0.0,5.5,6.5,3.5,3.5,0.0,1.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.935,0.7313,0.2037,83.2183,56.2326,0.3308,0.0,0.0,0.0,0.0,0.0,0.0,0.935,83.2183,0.2037,56.2326,0.3308
20160408HTKT0,2016-04-08,KT,KIA,1,0.5,0.5,0.0,0.0833,0.1667,4.6,4.0,0.6,5.0,4.25,-0.75,0.35,0.5833,0.5833,0.3333,0.5,-0.1667,6,4,-2,3.0,2.0,-1,1.0,1.0,0.0,7.5,5.5,4.5,3.5,-1.0,-2.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.936,0.7074,0.2286,85.6917,61.4144,0.174,0.9553,0.703,0.2524,87.0417,60.1922,0.2264,-0.019299999999999984,-1.3500000000000085,-0.023800000000000016,1.2222000000000008,-0.0524
20160408LGSK0,2016-04-08,SK,LG,1,0.3333,0.75,-0.4167,-0.5,-1.3333,3.6,5.5,-1.9,4.8,4.75,-0.05,-1.15,-2.4167,-2.4167,0.6667,1.0,-0.3333,6,4,-2,3.0,2.0,-1,1.0,1.0,0.0,7.5,5.5,4.5,3.5,-1.0,-2.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787,0.6578,0.3208,88.4267,57.2853,0.0738,-0.9787,-88.4267,-0.3208,-57.2853,-0.0738
20160408HHNC0,2016-04-08,NC,한화,1,0.4,0.2,0.2,-0.2,-0.8,3.6,5.4,-1.8,3.6,6.2,2.6,-2.6,0.8,0.8,0.5,1.5,-1.0,5,5,0,3.0,3.0,0,1.0,1.0,0.0,6.5,6.5,4.5,4.5,0.0,0.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.837,0.6773,0.1597,77.9833,57.8266,0.2843,0.935,0.7313,0.2037,83.2183,56.2326,0.3308,-0.09800000000000009,-5.234999999999999,-0.043999999999999984,1.5940000000000012,-0.046499999999999986
20160408WOOB0,2016-04-08,두산,넥센,1,0.6,0.6667,-0.0667,0.3,1.9,4.2,5.8,-1.6,4.2,4.8,0.6,-0.6,-0.6667,-0.6667,0.6667,0.6667,0.0,5,6,1,3.0,3.0,0,1.0,1.0,0.0,6.5,7.5,4.5,4.5,0.0,1.0,4.5,1.35,0.0,unknown,0.0,4.5,1.35,0.0,unknown,0.0,0.0,0.0,0.0,0,0,0.858,0.7397,0.1183,79.1239,67.3592,0.2909,0.0,0.0,0.0,0.0,0.0,0.0,0.858,79.1239,0.1183,67.3592,0.2909
