game_id,date,home_team,away_team,home_score,away_score,run_diff,total_runs,target_home_win,home_recent_runs_avg,away_recent_runs_avg,home_recent_allowed_avg,away_recent_allowed_avg,home_season_runs_avg,away_season_runs_avg,home_season_allowed_avg,away_season_allowed_avg,recent_runs_avg_gap,recent_allowed_avg_gap,season_runs_avg_gap,season_allowed_avg_gap,recent_run_diff_gap,season_run_diff_gap,home_recent_10_win_rate,away_recent_10_win_rate,recent_10_win_rate_gap,home_rest_days,away_rest_days,rest_days_gap,venue_win_rate_gap,elo_diff
20160422HHOB0,2016-04-22,두산,한화,8.0,2.0,6.0,10.0,1,6.4,4.4,3.6,8.6,5.2,5.25,5.1333,5.8125,2.0,5.0,-0.05,0.6792,7.0,0.6292,0.8,0.2,0.6,1.0,1.0,0.0,0.1964,132.9996
20160423HTLT0,2016-04-23,롯데,KIA,10.0,16.0,-6.0,26.0,0,6.8,3.0,5.2,4.2,5.8889,4.0625,3.2778,8.125,3.8,-1.0,1.8264,4.8472,2.8,6.6736,0.6,0.3,0.3,1.0,1.0,0.0,0.4778,46.6516
20160423KTSS0,2016-04-23,삼성,KT,6.0,11.0,-5.0,17.0,0,3.4,6.6,5.6,6.4,6.3529,4.6111,5.6471,4.7222,-3.2,0.8,1.7418,-0.9248,-2.4,0.817,0.4,0.5,-0.1,1.0,1.0,0.0,0.5952,-14.8953
20160423LGWO0,2016-04-23,넥센,LG,14.0,2.0,12.0,16.0,1,3.6,4.0,3.2,6.6,5.5294,6.75,4.6471,6.3125,-0.4,3.4,-1.2206,1.6654,3.0,0.4449,0.5,0.5,0.0,1.0,1.0,0.0,0.5357,16.4281
20160423NCSK0,2016-04-23,SK,NC,8.0,2.0,6.0,10.0,1,5.6,6.0,3.6,5.0,4.7778,5.2941,4.6111,6.1765,-0.4,1.4,-0.5163,1.5654,1.0,1.049,0.7,0.5,0.2,1.0,1.0,0.0,0.0846,26.1537
20160423HHOB0,2016-04-23,두산,한화,3.0,2.0,1.0,5.0,1,6.6,4.4,3.6,6.6,5.75,5.2941,4.9375,6.1176,2.2,3.0,0.4559,1.1801,5.2,1.636,0.8,0.2,0.6,1.0,1.0,0.0,0.2917,145.6968
20160424HTLT0,2016-04-24,롯데,KIA,4.0,11.0,-7.0,15.0,0,7.2,6.0,7.4,5.8,5.8421,3.9412,3.1579,7.8235,1.2,-1.6,1.9009,4.6656,-0.4,6.5666,0.5,0.4,0.1,1.0,1.0,0.0,0.5273,23.9821
20160424KTSS0,2016-04-24,삼성,KT,6.0,0.0,6.0,6.0,1,4.2,7.6,6.6,5.6,6.2222,4.9474,5.9444,4.6842,-3.4,-1.0,1.2749,-1.2602,-4.4,0.0146,0.4,0.5,-0.1,1.0,1.0,0.0,0.375,-34.0384
20160424LGWO0,2016-04-24,넥센,LG,3.0,5.0,-2.0,8.0,0,6.0,3.2,3.4,8.6,5.3889,6.3529,4.5,6.2941,2.8,5.2,-0.9641,1.7941,8.0,0.8301,0.5,0.5,0.0,1.0,1.0,0.0,0.5833,35.4831
20160424NCSK0,2016-04-24,SK,NC,3.0,2.0,1.0,5.0,1,5.2,5.4,2.8,5.0,4.6316,5.2778,4.5263,6.0,-0.2,2.2,-0.6462,1.4737,2.0,0.8275,0.7,0.5,0.2,1.0,1.0,0.0,-0.0065,44.651
