date,game_id,team,opponent,is_home,month,series_game_no,rest_days,recent_5_win_rate,avg_score_last_5,avg_allowed_last_5,avg_run_diff_last_5,target_win
2026-04-07,20260407WOOB0_키움,키움,두산,0,4,1,2.0,0.4,5.2,5.4,-0.2,1
2026-04-07,20260407HHSK0_한화,한화,SSG,0,4,1,2.0,0.4,7.8,8.8,-1.0,1
2026-04-08,20260408SSHT0_KIA,KIA,삼성,1,4,2,1.0,0.2,1.8,4.6,-2.8,1
2026-04-08,20260408KTLT0_KT,KT,롯데,0,4,2,1.0,0.6,5.8,4.2,1.6,0
2026-04-08,20260408LGNC0_LG,LG,NC,0,4,2,1.0,0.8,3.6,3.0,0.6,1
2026-04-08,20260408LGNC0_NC,NC,LG,1,4,2,1.0,0.6,3.8,2.2,1.6,0
2026-04-08,20260408HHSK0_SSG,SSG,한화,1,4,2,1.0,0.8,8.2,3.6,4.6,0
2026-04-08,20260408WOOB0_두산,두산,키움,1,4,2,1.0,0.2,4.2,6.0,-1.8,1
2026-04-08,20260408KTLT0_롯데,롯데,KT,1,4,2,1.0,0.0,3.6,8.6,-5.0,1
2026-04-08,20260408SSHT0_삼성,삼성,KIA,0,4,2,1.0,0.8,5.0,2.8,2.2,0
2026-04-08,20260408WOOB0_키움,키움,두산,0,4,2,1.0,0.4,4.0,5.4,-1.4,0
2026-04-08,20260408HHSK0_한화,한화,SSG,0,4,2,1.0,0.6,6.8,6.4,0.4,1
2026-04-10,20260410HTHH0_KIA,KIA,한화,0,4,1,2.0,0.4,4.6,5.2,-0.6,1
2026-04-10,20260410OBKT0_KT,KT,두산,1,4,1,2.0,0.4,3.4,3.8,-0.4,0
2026-04-10,20260410SKLG0_LG,LG,SSG,1,4,1,2.0,0.8,4.2,3.6,0.6,1
2026-04-10,20260410NCSS0_NC,NC,삼성,0,4,1,2.0,0.4,3.0,2.4,0.6,0
2026-04-10,20260410SKLG0_SSG,SSG,LG,0,4,1,2.0,0.6,6.6,4.2,2.4,0
2026-04-10,20260410OBKT0_두산,두산,KT,0,4,1,2.0,0.4,5.2,5.6,-0.4,1
2026-04-10,20260410LTWO0_롯데,롯데,키움,0,4,1,2.0,0.2,4.0,7.2,-3.2,1
2026-04-10,20260410NCSS0_삼성,삼성,NC,1,4,1,2.0,0.6,5.0,5.4,-0.4,1
2026-04-10,20260410LTWO0_키움,키움,롯데,1,4,1,2.0,0.4,4.4,4.6,-0.2,0
2026-04-10,20260410HTHH0_한화,한화,KIA,1,4,1,2.0,0.8,6.0,4.4,1.6,0
2026-04-11,20260411HTHH0_KIA,KIA,한화,0,4,2,1.0,0.6,5.4,5.2,0.2,1
2026-04-11,20260411OBKT0_KT,KT,두산,1,4,2,1.0,0.4,4.6,5.0,-0.4,1
2026-04-11,20260411SKLG0_LG,LG,SSG,1,4,2,1.0,1.0,5.8,3.0,2.8,1
2026-04-11,20260411NCSS0_NC,NC,삼성,0,4,2,1.0,0.2,3.0,3.6,-0.6,0
2026-04-11,20260411SKLG0_SSG,SSG,LG,0,4,2,1.0,0.4,3.6,5.8,-2.2,0
2026-04-11,20260411OBKT0_두산,두산,KT,0,4,2,1.0,0.6,5.6,4.8,0.8,0
2026-04-11,20260411LTWO0_롯데,롯데,키움,0,4,2,1.0,0.4,4.2,4.0,0.2,1
2026-04-11,20260411NCSS0_삼성,삼성,NC,1,4,2,1.0,0.6,6.2,6.2,0.0,1
2026-04-11,20260411LTWO0_키움,키움,롯데,1,4,2,1.0,0.2,3.6,4.8,-1.2,0
2026-04-11,20260411HTHH0_한화,한화,KIA,1,4,2,1.0,0.6,4.8,4.4,0.4,0
2026-04-12,20260412HTHH0_KIA,KIA,한화,0,4,3,1.0,0.8,6.6,5.0,1.6,1
2026-04-12,20260412OBKT0_KT,KT,두산,1,4,3,1.0,0.6,4.6,4.2,0.4,1
2026-04-12,20260412SKLG0_LG,LG,SSG,1,4,3,1.0,1.0,5.4,2.8,2.6,1
2026-04-12,20260412NCSS0_NC,NC,삼성,0,4,3,1.0,0.0,2.6,4.6,-2.0,0
2026-04-12,20260412SKLG0_SSG,SSG,LG,0,4,3,1.0,0.2,2.8,5.4,-2.6,0
2026-04-12,20260412OBKT0_두산,두산,KT,0,4,3,1.0,0.6,5.8,4.2,1.6,0
2026-04-12,20260412LTWO0_롯데,롯데,키움,0,4,3,1.0,0.6,3.6,2.8,0.8,0
2026-04-12,20260412NCSS0_삼성,삼성,NC,1,4,3,1.0,0.6,5.6,5.8,-0.2,1
2026-04-12,20260412LTWO0_키움,키움,롯데,1,4,3,1.0,0.2,3.0,4.2,-1.2,1
2026-04-12,20260412HTHH0_한화,한화,KIA,1,4,3,1.0,0.4,4.0,5.0,-1.0,0
2026-04-14,20260414WOHT0_KIA,KIA,키움,1,4,1,2.0,0.8,7.8,5.6,2.2,1
2026-04-14,20260414KTNC0_KT,KT,NC,0,4,1,2.0,0.6,5.4,4.4,1.0,0
2026-04-14,20260414LTLG0_LG,LG,롯데,1,4,1,2.0,1.0,6.0,2.0,4.0,1
2026-04-14,20260414KTNC0_NC,NC,KT,1,4,1,2.0,0.0,3.2,5.8,-2.6,1
2026-04-14,20260414OBSK0_SSG,SSG,두산,1,4,1,2.0,0.0,2.2,6.6,-4.4,0
2026-04-14,20260414OBSK0_두산,두산,SSG,0,4,1,2.0,0.4,4.4,5.4,-1.0,1
2026-04-14,20260414LTLG0_롯데,롯데,LG,0,4,1,2.0,0.6,3.0,2.4,0.6,0
2026-04-14,20260414SSHH0_삼성,삼성,한화,0,4,1,2.0,0.8,7.4,6.0,1.4,1
2026-04-14,20260414WOHT0_키움,키움,KIA,0,4,1,2.0,0.4,2.4,3.0,-0.6,0
2026-04-14,20260414SSHH0_한화,한화,삼성,1,4,1,2.0,0.4,4.6,5.2,-0.6,0
2026-04-15,20260415WOHT0_KIA,KIA,키움,1,4,2,1.0,1.0,8.4,4.0,4.4,1
2026-04-15,20260415KTNC0_KT,KT,NC,0,4,2,1.0,0.4,4.8,5.2,-0.4,1
2026-04-15,20260415LTLG0_LG,LG,롯데,1,4,2,1.0,1.0,6.0,2.2,3.8,0
2026-04-15,20260415KTNC0_NC,NC,KT,1,4,2,1.0,0.2,4.6,6.2,-1.6,0
2026-04-15,20260415OBSK0_SSG,SSG,두산,1,4,2,1.0,0.0,2.4,7.6,-5.2,1
2026-04-15,20260415OBSK0_두산,두산,SSG,0,4,2,1.0,0.6,6.2,5.0,1.2,0
2026-04-15,20260415LTLG0_롯데,롯데,LG,0,4,2,1.0,0.6,2.6,1.4,1.2,1
2026-04-15,20260415SSHH0_삼성,삼성,한화,0,4,2,1.0,0.8,6.6,6.4,0.2,1
2026-04-15,20260415WOHT0_키움,키움,KIA,0,4,2,1.0,0.2,1.8,3.8,-2.0,0
2026-04-15,20260415SSHH0_한화,한화,삼성,1,4,2,1.0,0.2,4.4,6.0,-1.6,0
2026-04-16,20260416WOHT0_KIA,KIA,키움,1,4,3,1.0,1.0,6.8,4.0,2.8,1
2026-04-16,20260416KTNC0_KT,KT,NC,0,4,3,1.0,0.6,6.6,4.4,2.2,1
2026-04-16,20260416LTLG0_LG,LG,롯데,1,4,3,1.0,0.8,5.0,1.8,3.2,1
2026-04-16,20260416KTNC0_NC,NC,KT,1,4,3,1.0,0.2,4.2,7.2,-3.0,0
2026-04-16,20260416OBSK0_SSG,SSG,두산,1,4,3,1.0,0.2,3.0,6.8,-3.8,1
2026-04-16,20260416OBSK0_두산,두산,SSG,0,4,3,1.0,0.4,4.8,5.6,-0.8,0
2026-04-16,20260416LTLG0_롯데,롯데,LG,0,4,3,1.0,0.6,1.8,1.2,0.6,0
2026-04-16,20260416SSHH0_삼성,삼성,한화,0,4,3,1.0,1.0,8.2,4.4,3.8,1
2026-04-16,20260416WOHT0_키움,키움,KIA,0,4,3,1.0,0.2,2.2,3.8,-1.6,0
2026-04-16,20260416SSHH0_한화,한화,삼성,1,4,3,1.0,0.0,4.6,8.0,-3.4,0
2026-04-17,20260417HTOB0_KIA,KIA,두산,0,4,1,1.0,1.0,6.6,3.2,3.4,1
2026-04-17,20260417WOKT0_KT,KT,키움,1,4,1,1.0,0.8,6.0,3.4,2.6,1
2026-04-17,20260417HTOB0_두산,두산,KIA,1,4,1,1.0,0.2,3.4,4.6,-1.2,0
2026-04-17,20260417WOKT0_키움,키움,KT,0,4,1,1.0,0.2,2.2,4.2,-2.0,0
2026-04-18,20260418HTOB0_KIA,KIA,두산,0,4,2,1.0,1.0,6.8,2.8,4.0,0
2026-04-18,20260418WOKT0_KT,KT,키움,1,4,2,1.0,0.8,5.8,2.6,3.2,1
2026-04-18,20260418LGSS0_LG,LG,삼성,0,4,1,2.0,0.8,4.4,2.2,2.2,0
2026-04-18,20260418SKNC0_NC,NC,SSG,1,4,1,2.0,0.2,3.8,6.4,-2.6,0
2026-04-18,20260418SKNC0_SSG,SSG,NC,0,4,1,2.0,0.4,3.0,5.0,-2.0,1
2026-04-18,20260418HTOB0_두산,두산,KIA,1,4,2,1.0,0.2,3.2,4.8,-1.6,1
2026-04-18,20260418HHLT0_롯데,롯데,한화,1,4,1,2.0,0.4,2.0,2.4,-0.4,0
2026-04-18,20260418LGSS0_삼성,삼성,LG,1,4,1,2.0,1.0,7.8,3.6,4.2,1
2026-04-18,20260418WOKT0_키움,키움,KT,0,4,2,1.0,0.2,2.0,4.6,-2.6,0
2026-04-18,20260418HHLT0_한화,한화,롯데,0,4,1,2.0,0.0,3.8,8.0,-4.2,1
2026-04-19,20260419HTOB0_KIA,KIA,두산,0,4,3,1.0,0.8,5.8,3.2,2.6,0
2026-04-19,20260419WOKT0_KT,KT,키움,1,4,3,1.0,0.8,5.4,2.8,2.6,0
2026-04-19,20260419LGSS0_LG,LG,삼성,0,4,2,1.0,0.6,4.0,3.0,1.0,1
2026-04-19,20260419SKNC0_NC,NC,SSG,1,4,2,1.0,0.2,3.6,7.6,-4.0,1
2026-04-19,20260419SKNC0_SSG,SSG,NC,0,4,2,1.0,0.6,4.6,4.8,-0.2,0
2026-04-19,20260419HTOB0_두산,두산,KIA,1,4,3,1.0,0.4,4.0,4.4,-0.4,1
2026-04-19,20260419HHLT0_롯데,롯데,한화,1,4,2,1.0,0.2,1.4,3.2,-1.8,0
2026-04-19,20260419LGSS0_삼성,삼성,LG,1,4,2,1.0,1.0,8.2,3.2,5.0,0
2026-04-19,20260419WOKT0_키움,키움,KT,0,4,3,1.0,0.0,2.0,5.4,-3.4,1
2026-04-19,20260419HHLT0_한화,한화,롯데,0,4,2,1.0,0.2,3.8,6.8,-3.0,1
2026-04-21,20260421HTKT0_KIA,KIA,KT,0,4,1,2.0,0.6,5.2,4.0,1.2,0
2026-04-21,20260421HTKT0_KT,KT,KIA,1,4,1,2.0,0.8,4.8,2.0,2.8,1
2026-04-21,20260421HHLG0_LG,LG,한화,1,4,1,2.0,0.6,3.2,2.8,0.4,1
2026-04-21,20260421NCWO0_NC,NC,키움,0,4,1,2.0,0.4,4.8,6.2,-1.4,0
2026-04-21,20260421SKSS0_SSG,SSG,삼성,0,4,1,2.0,0.6,4.8,4.8,0.0,1
2026-04-21,20260421OBLT0_두산,두산,롯데,0,4,1,2.0,0.4,3.0,4.4,-1.4,1
2026-04-21,20260421OBLT0_롯데,롯데,두산,1,4,1,2.0,0.2,1.6,4.6,-3.0,0
2026-04-21,20260421SKSS0_삼성,삼성,SSG,1,4,1,2.0,0.8,6.4,3.6,2.8,0
2026-04-21,20260421NCWO0_키움,키움,NC,1,4,1,2.0,0.2,2.2,4.4,-2.2,1
2026-04-21,20260421HHLG0_한화,한화,LG,0,4,1,2.0,0.4,5.0,5.2,-0.2,0
2026-04-22,20260422HTKT0_KIA,KIA,KT,0,4,2,1.0,0.4,4.8,4.2,0.6,0
2026-04-22,20260422HTKT0_KT,KT,KIA,1,4,2,1.0,0.8,4.0,2.6,1.4,1
2026-04-22,20260422HHLG0_LG,LG,한화,1,4,2,1.0,0.6,4.0,3.6,0.4,1
2026-04-22,20260422NCWO0_NC,NC,키움,0,4,2,1.0,0.2,3.6,5.8,-2.2,0
2026-04-22,20260422SKSS0_SSG,SSG,삼성,0,4,2,1.0,0.8,5.2,3.4,1.8,1
2026-04-22,20260422OBLT0_두산,두산,롯데,0,4,2,1.0,0.6,4.2,3.6,0.6,1
2026-04-22,20260422OBLT0_롯데,롯데,두산,1,4,2,1.0,0.2,1.8,5.4,-3.6,0
2026-04-22,20260422SKSS0_삼성,삼성,SSG,1,4,2,1.0,0.6,6.0,3.6,2.4,0
2026-04-22,20260422NCWO0_키움,키움,NC,1,4,2,1.0,0.4,1.6,3.2,-1.6,1
2026-04-22,20260422HHLG0_한화,한화,LG,0,4,2,1.0,0.4,5.0,5.2,-0.2,0
2026-04-23,20260423HTKT0_KIA,KIA,KT,0,4,3,1.0,0.2,4.4,5.6,-1.2,0
2026-04-23,20260423HTKT0_KT,KT,KIA,1,4,3,1.0,0.8,4.8,2.6,2.2,1
2026-04-23,20260423HHLG0_LG,LG,한화,1,4,3,1.0,0.8,4.6,3.2,1.4,0
2026-04-23,20260423NCWO0_NC,NC,키움,0,4,3,1.0,0.2,3.2,4.4,-1.2,1
2026-04-23,20260423SKSS0_SSG,SSG,삼성,0,4,3,1.0,0.8,4.6,3.8,0.8,1
2026-04-23,20260423OBLT0_두산,두산,롯데,0,4,3,1.0,0.8,5.8,3.4,2.4,0
2026-04-23,20260423OBLT0_롯데,롯데,두산,1,4,3,1.0,0.0,1.6,7.2,-5.6,1
2026-04-23,20260423SKSS0_삼성,삼성,SSG,1,4,3,1.0,0.4,3.8,3.2,0.6,0
2026-04-23,20260423NCWO0_키움,키움,NC,1,4,3,1.0,0.6,2.0,2.2,-0.2,0
2026-04-23,20260423HHLG0_한화,한화,LG,0,4,3,1.0,0.4,4.0,3.2,0.8,1
2026-04-24,20260424LTHT0_KIA,KIA,롯데,1,4,1,1.0,0.0,3.6,6.6,-3.0,1
2026-04-24,20260424KTSK0_KT,KT,SSG,0,4,1,1.0,0.8,5.4,3.2,2.2,0
2026-04-24,20260424LGOB0_LG,LG,두산,0,4,1,1.0,0.6,4.0,4.0,0.0,1
2026-04-24,20260424NCHH0_NC,NC,한화,0,4,1,1.0,0.4,5.0,4.0,1.0,1
