prediction_date,train_games_before_date,test_games_on_date,model,feature_set,accuracy,brier,log_loss,over_55_games,over_55_accuracy,predicted_games,correct_games,interpretation
2026-05-29,7266,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.238,0.668,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-29,7266,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.242,0.676,4,0.5,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-30,7271,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.231,0.656,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-30,7271,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.235,0.663,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-31,7276,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,1.0,0.192,0.576,8,1.0,10,10,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-05-31,7276,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,1.0,0.206,0.604,4,1.0,10,10,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-02,7281,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.232,0.656,4,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-02,7281,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.224,0.64,4,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-03,7286,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.25,0.29,0.773,4,0.0,8,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-03,7286,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.25,0.285,0.764,4,0.0,8,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-04,7290,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.242,0.677,4,0.5,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-04,7290,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.246,0.685,4,0.5,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-05,7295,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.22,0.633,6,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
